entity_id,name,domain,stress_score,logistic_score,viability_score
ncbi_gene_4344188,LOC4344188,biology,0.17522944259808124,0.8450056725745544,0.51011753
ncbi_gene_4343851,LOC4343851,biology,0.2617838985482835,0.665587703782956,0.4636858
ncbi_gene_4344164,LOC4344164,biology,0.1948468047403783,0.7591451186699585,0.47699597
ncbi_gene_4344159,LOC4344159,biology,0.11154719605138454,1.0,0.5557736
ncbi_gene_4344066,LOC4344066,biology,0.19092919749452983,0.767532574700341,0.47923088
ncbi_gene_4344063,LOC4344063,biology,0.1391764744184604,0.8450056725745544,0.49209106
ncbi_gene_4343984,LOC4343984,biology,0.08315899781354523,1.0,0.5415795
ncbi_gene_4343946,LOC4343946,biology,0.21598918855063784,0.7443196268161365,0.4801544
ncbi_gene_4343944,LOC4343944,biology,0.3628421876630983,0.5856845697415353,0.4742634
ncbi_gene_4343910,LOC4343910,biology,0.07060760753407047,1.0,0.53530383
ncbi_gene_4343894,LOC4343894,biology,0.28125437477835485,0.665587703782956,0.47342104
ncbi_gene_4343113,LOC4343113,biology,0.09873459440108427,1.0,0.5493673
ncbi_gene_4343009,LOC4343009,biology,0.4518210725847937,0.49971686470123383,0.47576895
ncbi_gene_4344420,LOC4344420,biology,0.08686068983048606,1.0,0.5434303
ncbi_gene_4342988,LOC4342988,biology,0.15691358936402452,0.8450056725745544,0.50095963
ncbi_gene_4342317,LOC4342317,biology,0.1363875710641438,0.8450056725745544,0.4906966
ncbi_gene_4342214,LOC4342214,biology,0.1280187689762067,0.8450056725745544,0.4865122
ncbi_gene_4342213,LOC4342213,biology,0.11208282259161524,0.984733317232122,0.5484081
ncbi_gene_4342129,LOC4342129,biology,0.15211220372157386,0.8450056725745544,0.49855894
ncbi_gene_4342124,LOC4342124,biology,0.20935005036032012,0.7443196268161365,0.47683483
ncbi_gene_4342117,LOC4342117,biology,0.3596682872620771,0.5856845697415353,0.47267643
ncbi_gene_4342105,LOC4342105,biology,0.1363875710641438,0.8450056725745544,0.4906966
ncbi_gene_4342080,LOC4342080,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4342017,LOC4342017,biology,0.19676637253246224,0.7591451186699585,0.47795576
ncbi_gene_4342010,LOC4342010,biology,0.19092919749452983,0.767532574700341,0.47923088
ncbi_gene_4341971,HKT2;1,biology,0.18587138868097464,0.8114492670591358,0.49866033
ncbi_gene_4341970,HKT2;4,biology,0.13575595734946955,0.8450056725745544,0.49038082
ncbi_gene_4341966,LOC4341966,biology,0.13575595734946955,0.8450056725745544,0.49038082
ncbi_gene_4341965,LOC4341965,biology,0.11154719605138454,1.0,0.5557736
ncbi_gene_4341956,LOC4341956,biology,0.08475186886704492,1.0,0.5423759
ncbi_gene_4341938,LOC4341938,biology,0.1363875710641438,0.8450056725745544,0.4906966
ncbi_gene_4341895,IRX14,biology,0.06914292791265714,1.0,0.53457147
ncbi_gene_4341841,LOC4341841,biology,0.07407670214531914,1.0,0.5370383
ncbi_gene_4341786,LOC4341786,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4341736,LOC4341736,biology,0.11383108266179794,0.9305933899636227,0.5222122
ncbi_gene_4341702,LOC4341702,biology,0.11154719605138454,1.0,0.5557736
ncbi_gene_4342320,LOC4342320,biology,0.07144158848147006,1.0,0.5357208
ncbi_gene_4342370,LOC4342370,biology,0.07863133932550101,1.0,0.5393157
ncbi_gene_4342416,LOC4342416,biology,0.24180268905183236,0.7203980631796767,0.48110038
ncbi_gene_4342680,LOC4342680,biology,0.2826552875655679,0.665587703782956,0.4741215
ncbi_gene_4342896,LOC4342896,biology,0.17522944259808124,0.8450056725745544,0.51011753
ncbi_gene_4342862,LOC4342862,biology,0.19092919749452983,0.767532574700341,0.47923088
ncbi_gene_4342859,LOC4342859,biology,0.10092392513572397,1.0,0.55046195
ncbi_gene_4342826,CRO1,biology,0.11973678451501264,0.916655481682169,0.5181961
ncbi_gene_4342787,LOC4342787,biology,0.08459687596392527,1.0,0.54229844
ncbi_gene_4342783,LOC4342783,biology,0.24180268905183236,0.7203980631796767,0.48110038
ncbi_gene_4342782,LOC4342782,biology,0.06928872603695448,1.0,0.53464437
ncbi_gene_4342723,LOC4342723,biology,0.1391764744184604,0.8450056725745544,0.49209106
ncbi_gene_4342690,LOC4342690,biology,0.1848724029179695,0.8114492670591358,0.49816084
ncbi_gene_4342669,LOC4342669,biology,0.08527595013075322,1.0,0.54263794
ncbi_gene_4342420,LOC4342420,biology,0.23621834809660622,0.7293518195215003,0.48278508
ncbi_gene_4342621,LOC4342621,biology,0.08459687596392527,1.0,0.54229844
ncbi_gene_4342593,LOC4342593,biology,0.06914292791265714,1.0,0.53457147
ncbi_gene_4342584,LOC4342584,biology,0.3970068517285304,0.5381142147559843,0.46756053
ncbi_gene_4342575,LOC4342575,biology,0.32482190419136237,0.5873357794991299,0.45607883
ncbi_gene_4342542,LOC4342542,biology,0.11583592661841509,0.9236149246656711,0.51972544
ncbi_gene_4342503,LOC4342503,biology,0.07303060707233223,1.0,0.5365153
ncbi_gene_4342487,LOC4342487,biology,0.09040122488467497,1.0,0.5452006
ncbi_gene_4342471,LOC4342471,biology,0.2789934458637349,0.665587703782956,0.47229058
ncbi_gene_4342431,LOC4342431,biology,0.09975614034518751,1.0,0.54987806
ncbi_gene_4344399,LOC4344399,biology,0.2617838985482835,0.665587703782956,0.4636858
ncbi_gene_4344439,LOC4344439,biology,0.1948468047403783,0.7591451186699585,0.47699597
ncbi_gene_4347963,LOC4347963,biology,0.1363875710641438,0.8450056725745544,0.4906966
ncbi_gene_4346183,LOC4346183,biology,0.1511764719148468,0.8450056725745544,0.49809107
ncbi_gene_4347164,LOC4347164,biology,0.16562277656437402,0.8450056725745544,0.50531423
ncbi_gene_4347093,LOC4347093,biology,0.16651882677005328,0.8450056725745544,0.5057622
ncbi_gene_4347031,LOC4347031,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4347014,LOC4347014,biology,0.20690716249803223,0.7443196268161365,0.4756134
ncbi_gene_4347000,LOC4347000,biology,0.44532623689573264,0.5158899462240909,0.4806081
ncbi_gene_4346973,LOC4346973,biology,0.11583592661841509,0.9236149246656711,0.51972544
ncbi_gene_4346882,LOC4346882,biology,0.11154719605138454,1.0,0.5557736
ncbi_gene_4346736,PP2C68,biology,0.11050176814652302,1.0,0.5552509
ncbi_gene_4346616,LOC4346616,biology,0.19271409283553775,0.7591451186699585,0.47592962
